"id_sala";"id_cine";"asientos"
712;965;264
436;529;147
142;803;183
562;88;65
241;3;134
631;168;54
558;844;270
431;203;186
96;702;219
907;366;190
267;205;234
828;867;218
443;398;140
207;437;189
534;856;292
541;40;212
403;115;130
287;139;55
77;936;100
51;357;98
906;25;283
191;93;219
788;346;80
856;8;289
474;860;285
385;843;199
278;633;75
61;917;181
835;746;120
754;516;279
208;877;168
261;265;106
168;350;240
20;566;131
39;657;218
366;625;211
18;582;177
258;782;257
494;964;175
18;250;129
581;630;285
199;481;135
71;328;195
740;725;152
519;238;124
588;172;196
119;219;67
602;356;115
602;354;60
379;582;106
105;343;126
714;147;98
846;354;233
683;15;222
805;77;103
299;449;225
32;356;231
377;850;255
386;466;69
550;204;234
260;857;234
84;894;269
405;971;160
358;237;255
691;281;294
20;531;225
677;589;259
111;551;193
479;506;177
194;814;129
815;527;92
860;989;157
669;82;272
560;169;229
756;646;270
469;608;125
515;381;243
196;410;293
438;5;99
326;864;208
59;326;156
929;339;164
814;92;149
838;726;197
688;133;148
150;863;98
123;456;55
305;257;257
765;418;178
667;226;231
204;911;201
351;601;119
814;709;177
453;296;212
688;588;155
178;79;192
503;709;207
509;817;283
374;873;228
170;381;199
181;448;294
934;699;221
545;446;248
519;873;77
173;653;171
287;250;142
281;522;114
245;805;200
60;932;220
388;136;232
336;278;299
674;686;131
552;809;118
429;51;204
790;638;77
553;221;150
914;725;229
597;622;133
87;795;59
195;274;216
411;838;52
27;25;181
837;59;267
68;175;283
334;113;77
814;728;53
768;482;66
683;593;247
474;173;86
71;187;299
460;78;58
116;16;287
1000;580;241
69;360;160
812;785;250
75;964;145
905;135;75
919;979;192
679;431;99
293;541;53
203;773;130
718;525;153
71;3;130
18;228;67
701;76;121
767;856;244
233;51;137
21;728;168
303;507;178
248;20;277
468;502;235
779;8;261
272;499;128
840;240;119
649;481;102
5;489;262
440;619;185
730;720;53
999;674;54
330;390;128
726;391;87
370;959;206
396;704;78
862;497;210
50;908;140
411;94;135
724;222;140
288;801;188
700;18;254
567;660;247
684;49;152
522;538;208
764;977;183
645;891;188
947;489;109
260;893;249
610;85;277
333;994;194
364;378;90
236;888;237
365;608;163
495;243;198
79;927;277
263;39;267
876;548;69
387;1;255
20;310;194
922;912;224
827;384;263
907;841;281
960;268;174
552;270;292
977;781;138
507;692;273
143;312;142
75;225;295
317;848;173
101;648;139
522;457;121
40;454;126
675;298;215
30;759;129
300;624;85
374;877;267
169;785;205
606;169;231
381;261;100
802;785;149
477;547;284
877;743;295
850;904;156
205;854;225
885;476;181
143;928;102
383;972;207
243;174;299
948;618;258
276;250;120
490;971;212
638;453;149
122;250;250
73;371;260
170;497;96
405;786;184
433;442;178
623;687;134
175;995;257
674;343;174
270;688;123
46;751;69
964;425;210
520;511;76
574;699;232
72;190;92
342;554;56
182;114;188
54;296;251
171;9;292
289;841;280
649;710;76
313;901;70
935;588;71
694;54;285
97;884;206
33;582;112
402;722;224
65;726;171
404;80;264
771;266;295
591;952;277
380;43;275
749;153;155
761;194;258
758;895;73
455;993;177
542;821;84
249;795;156
